Designator,Mid X,Mid Y,Rotation,Layer
BT1,122.61,-58.385,180.0,top
C1,158.5,-38.1,90.0,top
C2,140.0,-53.3,270.0,top
C3,135.4,-53.3,270.0,top
C4,160.0,-53.6,90.0,top
C5,155.2,-53.6,90.0,top
DCDC1,143.5,-42.6,0.0,top
J1,158.475,-31.6,90.0,top
J2,171.2,-45.285,180.0,top
J3,155.8,-59.1,90.0,top
R1,161.6,-44.8,0.0,top
R2,161.62,-47.2,0.0,top
R3,161.6,-42.4,180.0,top
R4,161.62,-49.6,0.0,top
U1,122.6875,-42.8125,270.0,top
U2,144.4,-30.2,180.0,top
U3,147.4,-53.3,180.0,top
